X,Y,Z
7.00316,0,35.50668
6.716146,0,35.79349
6.429132,0,35.79349
5.855105,0,35.79349
4.994064,0,36.08029
3.845994,0,36.08029
2.984952,0,36.08029
1.836897,0,36.08029
0.4018134,0,36.08029
-1.033256,0,36.08029
-3.616387,0,35.79349
-5.912505,0,34.93307
-7.921609,0,34.64626
-9.643699,0,34.07265
-11.07878,0,33.21222
-12.51384,0,32.63861
-13.94892,0,31.7782
-15.67101,0,30.91777
-16.53205,0,30.63097
-18.25414,0,29.48374
-19.11519,0,28.62332
-19.97623,0,28.04971
-21.12429,0,26.90248
-21.69832,0,26.32887
-21.98534,0,25.75525
-22.55936,0,24.60802
-22.55936,0,23.74761
-22.84638,0,22.60037
-22.84638,0,21.45315
-22.84638,0,20.59273
-22.84638,0,19.73231
-22.84638,0,18.87189
-22.84638,0,17.72466
-22.55936,0,16.57743
-22.27235,0,15.71701
-21.41131,0,14.28298
-20.83727,0,13.42256
-20.26325,0,12.56214
-19.11519,0,11.41491
-18.54116,0,11.1281
-17.68011,0,9.980876
-16.24504,0,9.12046
-14.52295,0,7.973232
-13.37489,0,7.112808
-12.22683,0,5.965581
-11.07878,0,5.391967
-9.930713,0,4.531543
-8.782658,0,3.671127
-7.921609,0,3.097514
-6.773554,0,2.5239
-5.912505,0,1.950286
-5.338477,0,1.376673
-5.051464,0,0.8030592
-4.190415,0,0.8030592
-3.329373,0,0.2294457
-3.04236,0,-0.3441679
-2.468324,0,-0.9177814
-1.320269,0,-1.491395
-1.033256,0,-1.778205
-0.4592206,0,-2.925432
-0.1722068,0,-2.925432
-0.1722068,0,-4.072659
-0.1722068,0,-4.93308
0.4018134,0,-5.219887
0.6888419,0,-6.080307
0.6888419,0,-6.653921
0.6888419,0,-7.227534
0.6888419,0,-7.801147
0.6888419,0,-8.374761
0.6888419,0,-8.661568
0.6888419,0,-9.235181
0.6888419,0,-9.808795
0.6888419,0,-10.0956
0.6888419,0,-10.95602
0.4018134,0,-11.81644
-0.1722068,0,-12.39006
-0.7462417,0,-12.96367
-0.7462417,0,-13.25048
-1.320269,0,-13.53728
-1.894297,0,-14.1109
-2.468324,0,-14.3977
-2.755346,0,-14.68451
-3.616387,0,-15.25812
-3.903401,0,-15.25812
-4.477428,0,-15.54493
-5.338477,0,-15.83174
-6.486532,0,-15.83174
-7.347581,0,-15.83174
-8.782658,0,-15.83174
-9.930713,0,-15.83174
-10.50474,0,-15.83174
-11.6528,0,-15.83174
-12.22683,0,-15.83174
-13.37489,0,-15.83174
-13.66191,0,-15.83174
-14.80996,0,-15.83174
-15.95802,0,-15.83174
-16.81907,0,-15.83174
-17.68011,0,-15.83174
-17.96713,0,-15.83174
-18.54116,0,-16.11854
-18.54116,0,-16.40535
-18.82817,0,-16.40535
-18.82817,0,-16.97896
-19.11519,0,-17.55258
-19.11519,0,-18.12619
-19.11519,0,-18.69981
-19.11519,0,-19.56023
-19.68922,0,-20.13384
-19.68922,0,-20.42065
-19.68922,0,-21.28107
-19.68922,0,-22.14149
-19.68922,0,-23.28872
-19.68922,0,-23.57552
-19.68922,0,-23.86233
-19.68922,0,-24.43594
-19.68922,0,-25.29636
-19.68922,0,-25.58317
-19.68922,0,-25.86998
-19.4022,0,-26.7304
-19.11519,0,-27.59082
-18.54116,0,-27.87762
-18.54116,0,-28.16443
-17.96713,0,-28.73805
-17.3931,0,-29.02485
-17.10609,0,-29.59847
-16.81907,0,-30.17208
-15.67101,0,-30.74569
-15.384,0,-31.0325
-14.52295,0,-31.31931
-13.37489,0,-31.60612
-11.93982,0,-32.46654
-10.50474,0,-33.04015
-8.782658,0,-33.32696
-7.347581,0,-33.61376
-5.625491,0,-33.90057
-3.616387,0,-34.18738
-1.894297,0,-34.18738
0.4018134,0,-34.76099
2.123911,0,-34.76099
3.55898,0,-35.3346
5.281077,0,-35.3346
6.142119,0,-35.62141
7.290174,0,-35.62141
8.43823,0,-35.90822
9.299285,0,-35.90822
10.16033,0,-35.90822
10.73435,0,-35.90822
11.5954,0,-35.90822
12.45644,0,-35.90822
13.31749,0,-35.90822
13.60451,0,-35.90822
14.17853,0,-35.90822
14.75256,0,-35.90822
15.6136,0,-35.3346
15.90062,0,-35.3346
16.47465,0,-34.76099
17.04869,0,-34.47419
17.04869,0,-33.90057
17.62271,0,-33.04015
17.90973,0,-32.17973
18.19674,0,-31.0325
19.05778,0,-29.02485
19.63181,0,-27.87762
19.91883,0,-26.44359
20.20584,0,-25.00956
21.06689,0,-23.57552
21.64092,0,-22.4283
21.92794,0,-20.42065
21.92794,0,-19.27342
22.21495,0,-17.83938
22.21495,0,-16.69216
22.78898,0,-15.54493
22.78898,0,-14.97132
22.78898,0,-13.82409
22.78898,0,-12.10325
22.78898,0,-11.24283
22.78898,0,-9.521988
22.50196,0,-8.374761
22.21495,0,-7.227534
21.35391,0,-5.7935
21.06689,0,-4.93308
21.06689,0,-3.212239
20.77987,0,-2.638625
20.49285,0,-2.065012
20.20584,0,-1.204588
19.91883,0,-0.6309747
19.91883,0,-0.3441679
19.91883,0,0.2294457
19.63181,0,0.8030592
19.3448,0,0.8030592
19.3448,0,1.089862
19.05778,0,1.376673
19.05778,0,1.663476
18.77077,0,1.950286
0,0,0
-44.65951,0,7.973232
-44.37249,0,7.973232
-43.22443,0,7.973232
-41.78936,0,7.686421
-40.06727,0,7.686421
-37.77115,0,7.112808
-35.76205,0,7.112808
-33.17891,0,7.112808
-31.16981,0,7.112808
-28.87369,0,7.112808
-27.15161,0,7.112808
-25.1425,0,7.112808
-23.70743,0,7.112808
-21.98534,0,7.112808
-20.26325,0,7.112808
-19.11519,0,7.112808
-17.96713,0,7.112808
-17.10609,0,7.112808
-15.95802,0,7.112808
-15.09698,0,7.112808
-14.52295,0,7.112808
-13.66191,0,7.399618
-12.51384,0,7.686421
-11.6528,0,7.686421
-11.07878,0,8.260036
-10.21773,0,8.546845
-9.356685,0,8.833649
-8.495636,0,9.407263
-7.634595,0,9.980876
-6.199519,0,10.8413
-4.76445,0,11.41491
-3.616387,0,12.27533
-1.607283,0,13.42256
-0.4592206,0,13.99617
1.26287,0,14.56978
2.697938,0,15.71701
3.271966,0,16.00382
3.845994,0,16.57743
4.70705,0,16.86424
4.994064,0,16.86424
5.855105,0,17.43785
6.142119,0,17.72466
6.429132,0,17.72466
7.00316,0,18.01147
7.577188,0,18.29827
7.864202,0,18.29827
8.43823,0,18.01147
8.725258,0,17.43785
9.012272,0,17.43785
0,0,0
11.88241,0,6.252384
12.16942,0,5.965581
12.16942,0,5.391967
12.16942,0,5.105157
12.16942,0,4.24474
12.16942,0,3.384317
12.16942,0,2.5239
11.88241,0,1.376673
11.30838,0,0.8030592
10.73435,0,-0.05736111
10.73435,0,-1.204588
9.873313,0,-2.065012
9.299285,0,-3.499046
8.43823,0,-4.646273
7.577188,0,-5.506693
6.429132,0,-6.653921
5.568091,0,-7.514341
4.133008,0,-8.661568
2.697938,0,-9.521988
1.549883,0,-10.38241
0.1147996,0,-10.66922
-1.607283,0,-11.24283
-2.181311,0,-11.81644
-3.903401,0,-12.67686
-4.477428,0,-12.96367
-6.486532,0,-12.96367
-7.347581,0,-13.53728
-8.495636,0,-13.82409
-9.643699,0,-14.1109
-10.79175,0,-14.1109
-12.22683,0,-14.1109
-13.94892,0,-14.1109
-15.384,0,-14.68451
-16.53205,0,-14.68451
-17.68011,0,-14.68451
-18.25414,0,-14.68451
-19.11519,0,-14.68451
-19.68922,0,-14.68451
-20.26325,0,-14.68451
-21.12429,0,-14.68451
-21.41131,0,-14.68451
-22.27235,0,-14.3977
-23.1334,0,-14.1109
-23.99444,0,-13.82409
-25.42952,0,-13.53728
-26.00354,0,-13.25048
-27.15161,0,-12.96367
-28.29966,0,-12.67686
-29.44773,0,-12.39006
-30.30877,0,-12.10325
-31.16981,0,-11.81644
-32.03086,0,-11.52964
-32.8919,0,-11.52964
-33.17891,0,-11.24283
-34.03996,0,-10.95602
-34.901,0,-10.95602
-35.47504,0,-10.66922
-36.04906,0,-10.38241
-36.91011,0,-10.0956
-37.77115,0,-10.0956
-38.63219,0,-10.0956
-39.49324,0,-9.808795
-39.78026,0,-9.808795
-40.35429,0,-9.808795
-40.92831,0,-9.521988
-41.21533,0,-9.521988
-41.78936,0,-9.521988
-42.07637,0,-9.521988
-42.6504,0,-9.521988
-42.93742,0,-9.521988
-43.22443,0,-9.521988
